GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Application JavaFx,fr.ducloyer.lotrtcg.controller,CPersonage,0,132,0,4,0,25,0,11,0,9
Application JavaFx,fr.ducloyer.lotrtcg.controller,CBoard,23,264,1,8,2,49,1,14,0,10
Application JavaFx,fr.ducloyer.lotrtcg.controller,Toastr,3,16,1,1,1,5,2,2,1,2
Application JavaFx,fr.ducloyer.lotrtcg.controller,CCard,0,124,2,4,0,26,2,8,0,7
Application JavaFx,fr.ducloyer.lotrtcg.scene,LocatedImage,0,7,0,0,0,3,0,1,0,1
Application JavaFx,fr.ducloyer.lotrtcg,Main,3,65,0,0,2,18,1,5,1,5
